OTU	k	p	c	o	f	g	s	OTU_lowest	Gut1	Gut2	Gut3	Gut4	Gut5	Gut6	percReads
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		g__Ruminococcus	0	0	0	0	0	6	0.004802728
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Anaerovorax;s__	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	Anaerovorax		g__Anaerovorax	0	0	0	0	0	15	0.01200682
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			f__Caulobacteraceae	0	0	0	0	0	4	0.003201819
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				o__Rhizobiales	0	0	0	10	0	0	0.008004547
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			f__Beijerinckiaceae	0	0	0	0	0	11	0.008805001
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae			f__Brucellaceae	0	0	0	0	0	227	0.181703207
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Pseudochrobactrum;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Pseudochrobactrum		g__Pseudochrobactrum	0	0	0	0	0	26	0.020811821
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae			f__Methylobacteriaceae	0	0	0	39	0	0	0.031217732
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		g__Methylobacterium	0	0	0	0	0	88	0.07044001
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae			f__Xanthobacteraceae	0	0	0	0	0	9	0.007204092
